,question,full_answer,drag_question,correct_answer,draggables
21,"Cutting down on the use of chemical fertilizers and preserving wetlands are ways to prevent what ""unlivable"" regions in bodies of water?","Cutting down on the use of chemical fertilizers is one way to prevent dead zones in bodies of water. Preserving wetlands is also important. Wetlands are habitats such as swamps, marshes, and bogs where the ground is soggy or covered with water much of the year. Wetlands slow down and filter runoff before it reaches bodies of water. Wetlands also provide breeding grounds for many different species of organisms.","Cutting down on the use of chemical fertilizers is one _____ to prevent _____ zones in bodies of water. _____ wetlands is also important. Wetlands are habitats _____ as swamps, marshes, and bogs where the ground is soggy or covered with water much of the year. Wetlands slow down and filter runoff _____ it reaches bodies of water. Wetlands also _____ breeding grounds for many different species of organisms.","such, dead, provide, before, way, Preserving","before, such, provide, Preserving, way, dead"
23,Testing what usually requires making observations or performing experiments?,"Usually, testing a hypothesis requires making observations or performing experiments. In this case, we will look into existing scientific literature to see if either of these hypotheses can be disproved, or if one or both can be supported by the data.","Usually, testing a _____ requires making _____ or performing experiments. In this case, we will _____ into _____ _____ _____ to see if either of these hypotheses can be disproved, or if one or both can be supported by the data.","hypothesis, literature, observations, scientific, existing, look","existing, hypothesis, observations, look, literature, scientific"
27,What is defined as a change in the inherited traits of organisms over time?,One idea is that evolution happens. Evolution is a change in the inherited traits of organisms over time. Living things have changed as descendants diverged from common ancestors in the past.,One idea is that evolution _____. Evolution is a _____ in the inherited _____ of _____ over time. Living things have changed as descendants _____ from _____ ancestors in the past.,"traits, diverged, organisms, change, happens, common","happens, traits, organisms, diverged, change, common"
28,"What hormone, which is associated with luteinizing hormone and male sexuality, helps bring about physical changes in puberty?","What causes puberty to begin? The hypothalamus in the brain “tells” the pituitary gland to secrete hormones that target the testes. The main pituitary hormone involved is luteinizing hormone (LH) . It stimulates the testes to secrete testosterone. Testosterone, in turn, promotes protein synthesis and growth. It brings about most of the physical changes of puberty, some of which are shown in Figure below . In addition to the changes shown below, during puberty male facial hair begins to grow, the shoulders broaden, and the male voice deepens. You can watch an animation of these and other changes that occur in boys during puberty at the Interactive Body link: http://www. bbc. co. uk/science/humanbody/body/interactives/lifecycle/teenagers/ .","What causes puberty to begin? The hypothalamus in the brain “tells” the pituitary gland to secrete hormones that target the _____. The main pituitary hormone involved is _____ hormone (LH) . It stimulates the _____ to secrete testosterone. Testosterone, in turn, promotes protein synthesis and growth. It _____ about _____ of the physical changes of puberty, some of which are shown in Figure below . In addition to the changes shown below, during puberty male facial hair begins to grow, the shoulders broaden, and the male voice deepens. You can watch an animation of these and other changes that occur in _____ during puberty at the Interactive Body link: http://www. bbc. co. uk/science/humanbody/body/interactives/lifecycle/teenagers/ .","luteinizing, boys, brings, most, uksciencehumanbodybodyinteractiveslifecycleteenagers, testes","brings, boys, uksciencehumanbodybodyinteractiveslifecycleteenagers, luteinizing, most, testes"
29,Where do angiosperms produce seeds in flowers?,Seed plants called angiosperms produce seeds in the ovaries of flowers.,_____ _____ _____ angiosperms produce _____ in the _____ of _____.,"seeds, plants, flowers, ovaries, Seed, called","flowers, ovaries, called, plants, Seed, seeds"
30,"In order to create food, what do photosynthetic protists use?",Photosynthetic protists use light energy to make food. They are major producers in aquatic ecosystems.,_____ _____ _____ light _____ to make food. _____ are major producers in _____ ecosystems.,"Photosynthetic, protists, use, They, energy, aquatic","Photosynthetic, use, protists, energy, They, aquatic"
31,What type of vertebrates are birds?,"Birds are endothermic tetrapod vertebrates. They are bipedal, which means they walk on two legs. Birds also lay amniotic eggs, and the eggs have hard, calcium carbonate shells. Although birds are the most recent class of vertebrates to evolve, they are now the most numerous vertebrates on Earth. Why have birds been so successful? What traits allowed them to increase and diversify so rapidly?.","Birds are endothermic tetrapod vertebrates. They are bipedal, which _____ they _____ on two legs. Birds _____ _____ amniotic eggs, and the eggs have hard, _____ carbonate shells. Although birds are the most recent _____ of vertebrates to evolve, they are now the most numerous vertebrates on Earth. Why have birds been so successful? What traits allowed them to increase and diversify so rapidly?.","calcium, class, means, lay, also, walk","also, means, calcium, lay, walk, class"
32,What type of ions do ionic compounds contain?,An ionic compound contains positive and negative ions.,An _____ _____ _____ _____ and _____ _____.,"positive, ionic, negative, contains, compound, ions","negative, contains, compound, ionic, positive, ions"
33,The cells of all eukarya have a what?,"Some Eukarya are also single-celled, but many are multicellular. Some have a cell wall; others do not. However, the cells of all Eukarya have a nucleus and other organelles.","_____ Eukarya are _____ single-celled, _____ many are multicellular. _____ have a cell wall; others do not. However, the cells of _____ Eukarya have a nucleus and _____ organelles.","all, but, Some, singlecelled, other, also","other, all, singlecelled, Some, also, but"
34,What type of plate boundaries produce huge mountain ranges in the ocean basin?,Divergent plate boundaries produce huge mountain ranges under water in every ocean basin.,_____ _____ _____ produce huge mountain ranges under _____ in _____ _____ basin.,"boundaries, water, ocean, every, plate, Divergent","Divergent, boundaries, ocean, every, plate, water"
40,What is a group of neuron cell bodies in the periphery called?,"Ganglia A ganglion is a group of neuron cell bodies in the periphery. Ganglia can be categorized, for the most part, as either sensory ganglia or autonomic ganglia, referring to their primary functions. The most common type of sensory ganglion is a dorsal (posterior) root ganglion. These ganglia are the cell bodies of neurons with axons that are sensory endings in the periphery, such as in the skin, and that extend into the CNS through the dorsal nerve root. The ganglion is an enlargement of the nerve root. Under microscopic inspection, it can be seen to include the cell bodies of the neurons, as well as bundles of fibers that are the posterior nerve root (Figure 13.19). The cells of the dorsal root ganglion are unipolar cells, classifying them by shape. Also, the small round nuclei of satellite cells can be seen surrounding—as if they were orbiting—the neuron cell bodies.","Ganglia A ganglion is a group of neuron cell bodies in the periphery. Ganglia can be categorized, for the most part, as _____ sensory ganglia or autonomic ganglia, referring to _____ primary _____. The most common type of sensory ganglion is a dorsal (posterior) root ganglion. These ganglia are the cell bodies of neurons with axons that are sensory endings in the periphery, such as in the skin, and that extend into the CNS through the dorsal nerve root. The ganglion is an _____ of the nerve root. Under microscopic inspection, it can be seen to include the cell bodies of the neurons, as well as bundles of fibers that are the posterior nerve root (Figure 13.19). The cells of the dorsal root ganglion are unipolar cells, _____ them by shape. Also, the small round _____ of satellite cells can be seen surrounding—as if they were orbiting—the neuron cell bodies.","enlargement, either, their, functions, nuclei, classifying","nuclei, classifying, their, enlargement, functions, either"
43,A diet rich in calcium and what vitamin may reduce the risk of osteoporosis and related bone fractures?,"Skeletal system problems include osteoporosis, bone fractures, and ligament sprains. A diet rick in calcium and vitamin D may reduce the risk of osteoporosis and related bone fractures. Following safe practices may also reduce the risk of fractures as well as sprains.","_____ _____ _____ include osteoporosis, bone fractures, and ligament sprains. A diet rick in calcium and _____ D may reduce the risk of osteoporosis and related bone fractures. _____ safe practices may _____ reduce the risk of fractures as well as sprains.","system, problems, Following, also, vitamin, Skeletal","vitamin, Skeletal, system, problems, Following, also"
52,What galaxy is our solar system a part of?,"Compared to Earth, the solar system is a big place. But galaxies are bigger - a lot bigger. A galaxy is a very large group of stars held together by gravity. How enormous a galaxy is and how many stars it contains are impossible for us to really understand. A galaxy contains up to a few billion stars! Our solar system is in the Milky Way Galaxy. It is so large that if our solar system were the size of your fist, the galaxy’s disk would be wider than the entire United States! There are several different types of galaxies, and there are billions of galaxies in the universe.","Compared to Earth, the solar system is a big place. But galaxies are bigger - a _____ bigger. A galaxy is a _____ large group of stars held together by gravity. How enormous a galaxy is and how many stars it contains are _____ for us to really understand. A galaxy contains up to a few billion stars! Our solar system is in the Milky Way Galaxy. It is so large that if _____ solar system were the size of your fist, the galaxy’s disk would be wider than the entire _____ States! There are several different types of galaxies, and there are billions of galaxies in the _____.","universe, our, very, impossible, lot, United","impossible, our, universe, United, very, lot"
55,Increasing the temperature of n2 molecules increases what energy of motion?,Increasing the temperature increases the average kinetic energy of the N2molecules.,_____ the _____ _____ the average _____ _____ of the _____.,"temperature, Increasing, N2molecules, kinetic, increases, energy","temperature, increases, energy, Increasing, kinetic, N2molecules"
61,Which cycle tracks the flow of nitrogen through an ecosystem?,Mariana Ruiz Villarreal (LadyofHats) for CK-12 Foundation. The nitrogen cycle tracks the flow of nitrogen through an ecosystem . CC BY-NC 3.0.,_____ Ruiz Villarreal (_____) for CK-12 Foundation. The nitrogen _____ _____ the _____ of nitrogen through an ecosystem . CC BY-NC 3.0.,"BYNC, flow, tracks, cycle, LadyofHats, Mariana","LadyofHats, BYNC, cycle, tracks, flow, Mariana"
62,What consequence of a tornado is responsible for most injuries and deaths?,"A tornado only strikes a small area. But it can destroy everything in its path. Most injuries and deaths from tornadoes are caused by flying debris ( Figure below ). In the United States, an average of 90 people are killed by tornadoes each year. The most violent two percent of tornadoes account for 70% of the deaths by tornadoes.","A tornado only strikes a small area. But it _____ _____ _____ in its path. Most injuries and deaths from tornadoes are caused by _____ debris ( Figure below ). In the United States, an average of 90 people are _____ by tornadoes _____ year. The most violent two percent of tornadoes account for 70% of the deaths by tornadoes.","each, everything, destroy, can, killed, flying","each, can, killed, flying, everything, destroy"
63,What are the only truly innate behaviors in humans called?,"All animals have innate behaviors, even human beings. Can you think of human behaviors that do not have to be learned? Chances are, you will have a hard time thinking of any. The only truly innate behaviors in humans are called reflex behaviors . They occur mainly in babies. Like innate behaviors in other animals, reflex behaviors in human babies may help them survive.","All animals have innate behaviors, even human _____. Can you think of human behaviors that do not have to be learned? Chances are, you will have a hard time thinking of _____. The only _____ innate behaviors in humans are called reflex behaviors . They occur mainly in babies. _____ innate behaviors in _____ animals, reflex behaviors in human babies may help them _____.","truly, Like, any, survive, beings, other","other, Like, any, truly, beings, survive"
66,What phenomenon is crowding out other species and making all the other causes of extinction worse?,"Human overpopulation, which is crowding out other species. It also makes all the other causes of extinction worse.","Human _____, which is crowding _____ other species. It _____ makes _____ the other _____ of _____ worse.","causes, extinction, overpopulation, also, out, all","also, out, overpopulation, all, causes, extinction"
68,The fossil record shows that this type of event is followed by the evolution of new species to fill the habitats where old species lived?,"After each mass extinction, new species evolve to fill the habitats where old species lived. This is well documented in the fossil record.","After each _____ extinction, _____ species _____ to fill the habitats where _____ species lived. This is _____ _____ in the fossil record.","documented, mass, new, old, well, evolve","new, mass, well, old, documented, evolve"
72,"When populations get close to the carrying capacity, what happens to growth?",Populations usually grow bigger when they have what they need. How fast they grow depends on birth and death rates. They grow more slowly as they get close to the carrying capacity. This is the biggest population the environment can support.,Populations usually grow _____ when they have what they _____. How _____ they grow depends on birth and death rates. They grow _____ slowly as they _____ close to the carrying _____. This is the biggest population the environment can support.,"get, bigger, capacity, need, fast, more","fast, capacity, need, bigger, get, more"
78,Nutrition and diet affect your metabolism. more energy is required to break down fats and proteins than this?,"24.7 Nutrition and Diet Nutrition and diet affect your metabolism. More energy is required to break down fats and proteins than carbohydrates; however, all excess calories that are ingested will be stored as fat in the body. On average, a person requires 1500 to 2000 calories for normal daily activity, although routine exercise will increase that amount. If you ingest more than that, the remainder is stored for later use. Conversely, if you ingest less than that, the energy stores in your body will be depleted. Both the quantity and quality of the food you eat affect your metabolism and can affect your overall health. Eating too much or too little can result in serious medical conditions, including cardiovascular disease, cancer, and diabetes. Vitamins and minerals are essential parts of the diet. They are needed for the proper function of metabolic pathways in the body. Vitamins are not stored in the body, so they must be obtained from the diet or synthesized from precursors available in the diet. Minerals are also obtained from the diet, but they are also stored, primarily in skeletal tissues.","24.7 Nutrition and Diet Nutrition and diet affect your metabolism. More energy is required to _____ down fats and proteins than carbohydrates; however, all excess calories that are ingested will be stored as fat in the body. On average, a person requires 1500 to 2000 calories for normal daily activity, although _____ exercise will increase that amount. If you ingest more than that, the remainder is stored for later use. Conversely, if you ingest less than that, the energy stores in your body will be _____. Both the quantity and quality of the food you eat affect your metabolism and can affect your overall health. _____ too much or too little can result in serious medical _____, including cardiovascular disease, cancer, and diabetes. Vitamins and minerals are essential parts of the diet. They are needed for the proper function of metabolic pathways in the body. Vitamins are not stored in the body, so they must be obtained from the diet or synthesized from precursors available in the diet. Minerals are also obtained from the diet, but they are also stored, primarily in skeletal tissues.","conditions, Eating, routine, depleted, 247, break","Eating, depleted, 247, break, routine, conditions"
79,What are unsaturated hydrocarbons with at least one double bond between carbon atoms called?,Alkenes are unsaturated hydrocarbons with at least one double bond between carbon atoms.,_____ are unsaturated _____ with at _____ _____ double _____ _____ carbon atoms.,"between, hydrocarbons, bond, one, Alkenes, least","one, between, hydrocarbons, bond, least, Alkenes"
80,What is the opposite of melting?,"All of the changes of state that occur between solid, liquid and gas are summarized in the diagram in the figure below. Freezing is the opposite of melting and both represent the equilibrium between the solid and liquid states. Evaporation occurs when a liquid turns to a gas. Condensation is the opposite of vaporization and both represent the equilibrium between the liquid and gas states. Deposition is the opposite of sublimation and both represent the equilibrium between the solid and gas states.","_____ of the _____ of state that occur between solid, liquid and gas are summarized in the diagram in the figure below. Freezing is the opposite of melting and both represent the equilibrium between the solid and liquid states. _____ _____ when a liquid _____ to a gas. _____ is the opposite of vaporization and both represent the equilibrium between the liquid and gas states. Deposition is the opposite of sublimation and both represent the equilibrium between the solid and gas states.","occurs, All, turns, Condensation, Evaporation, changes","occurs, turns, All, changes, Evaporation, Condensation"
81,"A unique characteristic of mammals is the ability to chew, this happens by the temporalis and the masseter allowing what?","The adductor muscle that closes the jaw is composed of two muscles in mammals: the temporalis and the masseter. These allow side-to-side movement of the jaw, making chewing possible, which is unique to mammals. Most mammals have heterodont teeth, meaning that they have different types and shapes of teeth rather than just one type and shape of tooth. Most mammals are diphyodonts, meaning that they have two sets of teeth in their lifetime: deciduous or “baby” teeth, and permanent teeth. Other vertebrates are polyphyodonts, that is, their teeth are replaced throughout their entire life. Mammals, like birds, possess a four-chambered heart. Mammals also have a specialized group of cardiac fibers located in the walls of their right atrium called the sinoatrial node, or pacemaker, which determines the rate at which the heart beats. Mammalian erythrocytes (red blood cells) do not have nuclei, whereas the erythrocytes of other vertebrates are nucleated. The kidneys of mammals have a portion of the nephron called the loop of Henle or nephritic loop, which allows mammals to produce urine with a high concentration of solutes, higher than that of the blood. Mammals lack a renal portal system, which is a system of veins that moves blood from the hind or lower limbs and region of the tail to the kidneys. Renal portal systems are present in all other vertebrates except jawless fishes. A urinary bladder is present in all mammals. Mammalian brains have certain characteristics that differ from other vertebrates. In some, but not all mammals, the cerebral cortex, the outermost part of the cerebrum, is highly folded, allowing for a greater surface area than is possible with a smooth cortex. The optic lobes, located in the midbrain, are divided into two parts in mammals, whereas other vertebrates.","The adductor muscle that closes the jaw is composed of two muscles in mammals: the _____ and the masseter. These allow side-to-side movement of the jaw, making chewing possible, which is unique to mammals. Most mammals have heterodont teeth, meaning that they have different types and shapes of teeth _____ than just one type and shape of tooth. Most mammals are diphyodonts, meaning that they have two sets of teeth in their lifetime: deciduous or “baby” teeth, and permanent teeth. Other vertebrates are polyphyodonts, that is, their teeth are replaced throughout their entire life. Mammals, like birds, _____ a four-chambered heart. Mammals also have a specialized _____ of cardiac fibers located in the walls of their right atrium called the sinoatrial node, or pacemaker, which determines the rate at which the heart beats. Mammalian erythrocytes (red blood cells) do not have nuclei, whereas the erythrocytes of other vertebrates are nucleated. The kidneys of mammals have a portion of the nephron called the loop of Henle or nephritic loop, which allows mammals to produce urine with a high concentration of solutes, higher than that of the blood. Mammals lack a renal portal system, which is a system of veins that moves blood from the _____ or lower limbs and region of the tail to the kidneys. _____ portal systems are present in all other vertebrates except jawless fishes. A urinary bladder is present in all mammals. Mammalian brains have certain characteristics that differ from other vertebrates. In some, but not all mammals, the cerebral cortex, the outermost part of the cerebrum, is highly folded, allowing for a greater surface area than is possible with a smooth cortex. The optic lobes, located in the midbrain, are divided into two parts in mammals, whereas other vertebrates.","hind, group, rather, possess, temporalis, Renal","hind, possess, temporalis, Renal, rather, group"
83,Sexual reproduction involves haploid gametes and produces a diploid zygote through what process?,Sexual reproduction involves haploid gametes and produces a diploid zygote through fertilization.,_____ reproduction involves _____ gametes and _____ a _____ zygote _____ _____.,"diploid, haploid, Sexual, produces, fertilization, through","fertilization, Sexual, produces, diploid, through, haploid"
85,What percentage of men suffer from some form of erectile dysfunction by age 40?,"Male Reproductive System Erectile dysfunction (ED) is a condition in which a man has difficulty either initiating or maintaining an erection. The combined prevalence of minimal, moderate, and complete ED is approximately 40 percent in men at age 40, and reaches nearly 70 percent by 70 years of age. In addition to aging, ED is associated with diabetes, vascular disease, psychiatric disorders, prostate disorders, the use of some drugs such as certain antidepressants, and problems with the testes resulting in low testosterone concentrations. These physical and emotional conditions can lead to interruptions in the vasodilation pathway and result in an inability to achieve an erection. Recall that the release of NO induces relaxation of the smooth muscles that surround the penile arteries, leading to the vasodilation necessary to achieve an erection. To reverse the process of vasodilation, an enzyme called phosphodiesterase (PDE) degrades a key component of the NO signaling pathway called cGMP. There are several different forms of this enzyme, and PDE type 5 is the type of PDE found in the tissues of the penis. Scientists discovered that inhibiting PDE5 increases blood flow, and allows vasodilation of the penis to occur. PDEs and the vasodilation signaling pathway are found in the vasculature in other parts of the body. In the 1990s, clinical trials of a PDE5 inhibitor called sildenafil were initiated to treat hypertension and angina pectoris (chest pain caused by poor blood flow through the heart). The trial showed that the drug was not effective at treating heart conditions, but many men experienced erection and priapism (erection lasting longer than 4 hours). Because of this, a clinical trial was started to investigate the ability of sildenafil to promote erections in men suffering from ED. In 1998, the FDA approved the drug, marketed as Viagra®. Since approval of the drug, sildenafil and similar PDE inhibitors now generate over a billion dollars a year in sales, and are reported to be effective in treating approximately 70 to 85 percent of cases of ED. Importantly, men with health problems—especially those with cardiac disease taking nitrates—should avoid Viagra or talk to their physician to find out if they are a candidate for the use of this drug, as deaths have been reported for at-risk users.","Male Reproductive System Erectile dysfunction (ED) is a condition in which a man has difficulty either initiating or maintaining an erection. The combined prevalence of minimal, moderate, and complete ED is approximately 40 percent in men at age 40, and reaches nearly 70 percent by 70 years of age. In addition to aging, ED is associated with diabetes, vascular disease, psychiatric disorders, prostate disorders, the use of some drugs such as certain antidepressants, and problems with the testes resulting in low _____ concentrations. These physical and emotional conditions can lead to interruptions in the vasodilation pathway and result in an inability to achieve an erection. Recall that the release of NO induces relaxation of the smooth muscles that surround the penile arteries, leading to the vasodilation _____ to achieve an erection. To reverse the process of vasodilation, an enzyme called phosphodiesterase (PDE) degrades a _____ component of the NO signaling pathway called cGMP. There are several different forms of this enzyme, and PDE type 5 is the type of PDE found in the tissues of the penis. Scientists discovered that inhibiting PDE5 increases blood flow, and allows vasodilation of the penis to occur. PDEs and the vasodilation signaling pathway are found in the vasculature in other parts of the body. In the 1990s, clinical trials of a PDE5 inhibitor called sildenafil were initiated to treat hypertension and angina pectoris (chest pain caused by poor blood flow through the heart). The trial showed that the drug was not effective at treating heart conditions, but many men experienced erection and _____ (erection lasting longer than 4 hours). Because of this, a clinical trial was started to investigate the ability of sildenafil to promote erections in men suffering from ED. In 1998, the FDA _____ the drug, marketed as Viagra®. Since approval of the drug, sildenafil and similar PDE inhibitors now generate over a billion dollars a year in _____, and are reported to be effective in treating approximately 70 to 85 percent of cases of ED. Importantly, men with health problems—especially those with cardiac disease taking nitrates—should avoid Viagra or talk to their physician to find out if they are a candidate for the use of this drug, as deaths have been reported for at-risk users.","necessary, sales, approved, testosterone, priapism, key","priapism, necessary, key, testosterone, approved, sales"
86,What secures together immovable joints and prevents them from moving?,Immovable joints allow no movement because the bones at these joints are held securely together by dense collagen . The bones of the skull are connected by immovable joints.,_____ joints allow no _____ _____ the bones at these joints are _____ _____ together by dense collagen . The bones of the skull are _____ by immovable joints.,"securely, held, connected, because, movement, Immovable","securely, connected, Immovable, movement, because, held"
87,Transform faults are the site of massive what?,Transform faults are the site of massive earthquakes.,_____ _____ are the _____ of _____ _____.,"earthquakes, massive, faults, Transform, site","site, massive, faults, Transform, earthquakes"
