question,answer,original_correct_answer
What type of pollution results from the contaminants that enter a waterway or water body through a single site?,"Point source pollution results from the contaminants that enter a waterway or water body through a single site. Examples of this include untreated sewage, wastewater from a sewage treatment plant, and leaking underground tanks.",point source pollution
What paired organs that are part of the urinary system play the prime role in excretion?,"Each of the above organs of excretion is also part of another body system. For example, the large intestine and liver are part of the digestive system, and the lungs are part of the respiratory system. The kidneys are the main organs of excretion. They are part of the urinary system.",kidneys
"What kind of cells have positive cell potentials, and all the reduction reactions are reversible?","Galvanic cells have positive cell potentials, and all the reduction reactions are reversible. The reaction at the anode will be the half-reaction with the smaller or more negative standard reduction potential. Reversing the reaction at the anode (to show the oxidation) but not its standard reduction potential gives: Anode (oxidation):.",galvanic cells
What consists of thylakoid membranes surrounded by stroma?,A chloroplast consists of thylakoid membranes surrounded by stroma. The thylakoid membranes contain molecules of the green pigment chlorophyll.,a chloroplast
What occurs when two free radicals come in contact with each other?,Termination occurs whenever two free radicals come in contact with one another (not shown). The two free electrons form a covalent bond and the free radical on each molecule no longer exists.,termination
What part of the body does the mycobacterium tuberculosis bacterium usually attack?,"This bacterium, called Mycobacterium tuberculosis , causes the disease Tuberculosis (TB). These bacteria usually attack the lungs. If left untreated, the infection can be fatal. Many other illnesses, mild and severe, are also caused by certain types of bacteria.",lungs
We would genetically be all the same if genes did not have different what?,"Chromosome, gene, locus and alleles are all related. What is the different between a gene and a locus? Between a gene and an allele? Chromosomes are composed of genes located at specific loci. And genes have different alleles. If genes did not have different alleles, we would genetically be all the same. What does that mean?.",alleles
What happens when a cell takes in substances through its membrane?,"Other animal-like protists must ""swallow"" their food through a process called endocytosis . Endocytosis happens when a cell takes in substances through its membrane. The process is described below:.",endocytosis
The process of producing mature sperm is called what?,The process of producing mature sperm is called spermatogenesis . Sperm are produced in the seminiferous tubules of the testes and become mature in the epididymis . The entire process takes about 9 to 10 weeks. You can watch an animation of spermatogenesis at this link: http://wps. aw. com/bc_martini_eap_4/40/10469/2680298. cw/content/index. html .,spermatogenesis
The yellowstone hot spot is a famous example of a what?,"Hot spots are found within continents, but not as commonly as within oceans. The Yellowstone hot spot is a famous example of a continental hot spot.",continental hot spot
What is the only animal phyla that does not consist exclusively of invertebrates?,"Except for the chordates, all animal phyla consist only of invertebrates.",chordates
What type of energy is the energy of moving matter?,"Kinetic energy is the energy of moving matter. Anything that is moving has kinetic energy—from atoms in matter to stars in outer space. Things with kinetic energy can do work. For example, the spinning saw blade in the photo above is doing the work of cutting through a piece of metal.",kinetic energy
The cytoplasm divides during what stage of the cell cycle?,"3. The third step is the division of the rest of the cell. This is called cytokinesis, as it is in a prokaryotic cell. During this step, the cytoplasm divides, and two daughter cells form.",cytokinesis
What are biochemical catalysts that speed up biochemical reactions?,"Enzymes are biochemical catalysts that speed up biochemical reactions. Without enzymes, most chemical reactions in living things would occur too slowly to keep organisms alive.",enzymes
Which nerve carries electrical signals from the rods and cones to the brain?,The optic nerve carries electrical signals from the rods and cones to the brain.,optic
What is it called when plant roots absorb liquid water and release water vapor into the atmosphere?,Liquid water is taken up by plant roots. The plant releases water vapor into the atmosphere. This is transpiration.,transpiration
"In humans, a zygote has how many chromosomes?","Upon fertilization a diploid zygote is formed. In humans, a zygote has 46 chromosomes, 23 inherited from each parent. The gametes, sperm and eggs, are haploid cells, with 23 chromosomes each.",46
"Smooth, cardiac, and skeletal are all types of what?","The three types of muscles in the body include skeletal muscle, smooth muscle, and cardiac muscle.",muscle
Who built the first telescope?,Humans have been making and using magnifying lenses for thousands of years. The first telescope was built by Galileo in 1608. His telescope used two lenses to make distant objects appear both nearer and larger.,galileo
"Bromide is present in brines, which are naturally occurring solutions of what?","chlorine is added to an aqueous solution of bromide. iodine crystals are added to a solution of potassium bromide. Bromide is present in naturally occurring salt solutions called brines. Based on your answers, propose an effective method to remove bromide from brine.",salt
The bird ancestor that lived in trees developed what feature commonly associated with birds?,"Wings evolved in a bird ancestor that lived in trees. Thus, wings are modified arms that helped the animal glide from branch to branch.",wings
"Timber, medicines, dyes, oils, and rubber are just some of the useful products humans derive from what?","Plants provide many products for human use. They include timber, medicines, dyes, oils, and rubber.",plants
"What process is at work when warm air or water rises, and cool air or water sinks?","Warmer, lighter air is more buoyant than the cooler air above it. So the warm air rises. The cooler air is denser than the air beneath it. So it sinks down. This is convection: warm air rises, and cool air sinks. Warm fluids can undergo convection as well. This is described in the chapter Plate Tectonics .",convection
What do we call the cartilaginous structure that surrounds the notochrod?,"distinctly differ from the adult form, spending 3 to 15 years as suspension feeders. Once they attain sexual maturity, the adults reproduce and die within days. Lampreys possess a notochord as adults; however, this notochord is surrounded by a cartilaginous structure called an arcualia, which may resemble an evolutionarily early form of the vertebral column.",arcualia
What is another term for hydraulic fracturing?,"Hydraulic fracturing, known as fracking, is a relatively new method for extracting natural gas. Fracking may be linked to groundwater contamination and small earthquakes in non-seismic regions.",fracking
What can lenses be used to make?,"Lenses can be used to make visual representations, called images .",visual representations
An experiment generates what to support a hypothesis?,A field goal kicker lines up to kick a 44 yard (40 m) field goal. He kicks it with an initial velocity of 22 m/s at an angle of . The field goal posts are 3 meters high. Does he make the field goal?.,evidence
What is the main component of phytoplankton?,"Algae play significant roles as producers in aquatic ecosystems. Microscopic forms live suspended in the water column. They are the main component of phytoplankton. As such, they contribute to the food base of most marine ecosystems.",algae
What are magnetites naturally attracted to?,Magnetite naturally attracts iron nails and filings. Its natural magnetism was discovered thousands of years ago.,iron
An endocrine disease usually involves the secretion of too much or not enough of what?,"Diseases of the endocrine system are relatively common. An endocrine disease usually involves the secretion of too much or not enough hormone. When too much hormone is secreted, it is called hypersecretion . When not enough hormone is secreted, it is called hyposecretion .",hormone
Where do most biochemical reactions take place?,Most biochemical reactions take place within cells. Cells are the microscopic building blocks of organisms.,within cells
After a massive eruption what will a mountain collapsing above an empty chamber create?,"During a massive eruption all of the material may be ejected from a magma changer. Without support, the mountain above the empty chamber may collapse. This produces a huge caldera . Calderas are generally round, bowl-shaped formations like the picture in Figure below .",caldera
What protists absorb food molecules across their cell membranes?,Absorptive protists absorb food molecules across their cell membranes. This occurs by diffusion . These protists are important decomposers.,absorptive
What are the special mating behaviors in birds called?,"Birds reproduce sexually and have separates sexes. Fertilization occurs internally, so males and females must mate. Many bird species have special behaviors, such as unique songs or visual displays, for attracting mates. These special behaviors are called courtship. The white peacock in Figure below is putting on a stunning display of his amazing tail feathers to court a mate.",courtship
What refers to the ability to change or move matter and is required by all life processes and living things?,"Energy is the ability to change or move matter. All life processes require energy, so all living things need energy.",energy
What is the name of the major sex hormone in females?,Two functions of the female reproductive system are producing eggs and secreting estrogen. Eggs are female gametes. Estrogen is the major sex hormone in females. The female reproductive system also supports a developing fetus and gives birth to an infant.,estrogen
An amide bond joining two amino acid units is called a what?,An amide bond joining two amino acid units is called a peptide bond. Note that the product molecule still has a reactive amino group on the left and a reactive carboxyl.,peptide bond
"Ice masses, acquifers, and the deep ocean are examples of water what?","The atmosphere is an exchange pool for water. Ice masses, aquifers, and the deep ocean are water reservoirs.",reservoirs
What is the process of removing wastes and excess water from the body?,"Excretion is the process of removing wastes and excess water from the body. It is one of the major ways the body maintains homeostasis. Organs of excretion make up the excretory system. They include the kidneys, large intestine, liver, skin, and lungs.",excretion
"Three ways that waves may interact with matter are reflection, refraction, and what?","Three ways that waves may interact with matter are reflection, refraction, and diffraction.",diffraction
Eight of the hottest years on record have occurred since what year?,"Since the mid 1800s, Earth has warmed up quickly. Look at Figure below . The 14 hottest years on record have all occurred since 1900. Eight of them have occurred since 1998! This is what is usually meant by global warming .",1998
Scientists can use what tool to determine an earthquake's strength?,"Seismograms record earthquake strength. Scientists can use them to determine the distance to an earthquake. Using at least three seismograms, they can locate the earthquake's epicenter. Scientists measure earthquake intensity in several ways. So far no one has found a way to predict earthquakes.",seismogram
What is the organ system that brings oxygen into the body and releases carbon dioxide?,organ system that brings oxygen into the body and releases carbon dioxide into the atmosphere.,lungs
What are the special compartments that are surrounded by membranes inside eukaryotic cells called?,"Eukaryotic cells contain special compartments surrounded by membranes, called organelles. For example, notice in this image the mitochondria, lysosomes, and Golgi apparatus.",organelles
What is the term for the number of waves that pass a fixed point in a given amount of time?,Wave frequency is the number of waves that pass a fixed point in a given amount of time. Higher frequency waves have more energy. Wave speed is calculated as wavelength multiplied by wave frequency. Wave speed is affected by the medium through which a wave travels.,wave frequency
What lies between the continental shelf and the abyssal plain?,The continental slope lies between the continental shelf and the abyssal plain. It has a steep slope with a sharp drop to the deep ocean floor.,continental slope
What do the external female reproductive structures are collectively referred to?,"The external female reproductive structures are referred to collectively as the vulva . They include the labia (singular, labium ), which are the “lips” of the vulva. The labia protect the vagina and urethra, both of which have openings in the vulva.",vulva
"Kidneys, large intestine, liver, skin, and lungs comprise which system?","Organs of excretion make up the excretory system. They include the kidneys, large intestine, liver, skin, and lungs.",excretory system
"Parasites usually harm their hosts (or they wouldn't be parasites), but what do they usually stop short of doing?","Some parasites kill their host, but most do not. It’s easy to see why. If a parasite kills its host, the parasite may also die. Instead, parasites usually cause relatively minor damage to their host.",killing their host
How are bacteria cells similar to our cells?,"Yes and no. Bacteria cells are similar to our cells in some ways. Like our cells, bacteria cells have DNA and a plasma membrane. But bacteria are unique in other ways. They are called prokaryotic cells because of these differences.",dna & plasma membrane
What exactly happens during rna translation?,"Translation is the RNA → protein part of the central dogma. It occurs at a ribosome. During translation, a protein is synthesized using the codons in mRNA as a guide. All three types of RNA play a role in translation.",protein is synthesized
Fertilization occurs when an egg and sperm come together to form a what?,Fertilization occurs when an egg and sperm come together to form a zygote.,zygote
What part of the body do fish use to absorb oxygen?,"In order to absorb oxygen from the water, fish use gills ( Figure below ). Gills take dissolved oxygen from water as the water flows over the surface of the gill.",gills
The movement of bone away from the midline of the body is called what?,The movement of bone away from the midline of the body is called ________. circumduction b. extension c. adduction d. abduction.,extension
Which state of matter is characterized by molecules with minimal movement and strong forces between them?,"Three main types of particles that make up all atoms are protons, neutrons, and electrons.",solid
What is the term for the number that describes an electron's orbital orientation in space?,"The magnetic quantum number , signified as , describes the orbital orientation in space. Electrons can be situated in one of three planes in three dimensional space around a given nucleus and . For a given value of the angular momentum quantum number , there can be values for . As an example:.",magnetic quantum number
Name an important natural resource in and of itself.,"It’s obvious that living things are important natural resources needed by human beings. After all, other species provide us with all of the food we eat. We couldn’t survive without them. But that’s far from the only reason that other species are important for human survival. Biodiversity is an important natural resource in and of itself.",biodiversity
How did a vascular let plants grow?,The evolution of vascular tissue revolutionized the plant kingdom. Vascular tissue greatly improved the ability of plants to absorb and transfer water. This allowed plants to grow larger and taller. They could also liver in drier habitats and survive periods of drought. Early vascular plants probably resembled the fern in Figure below .,they could grow taller
The major cause of outdoor air pollution is the burning of?,The major cause of outdoor air pollution is the burning of fossil fuels.,fossil fuels
"Two smaller isotopes, more neutrons, and heat energy are the products of what type of reaction?","Nuclear fission reactions involve collision of a slow neuron with an element, usually uranium. The products of a fission reaction are two smaller isotopes, more neutrons, and heat energy.",fission
What do you call mixtures of ash and water that travel down river valleys?,"Lahars are mixtures of ash and water that travel down river valleys. On Mount St. Helens, the eruption melted glaciers. The water mixed with ash from the eruption and created tremendous lahars. The lahars raced down valleys and knocked out many bridges.",lahars
Which part of the nerve cell helps transmit nerve impulses?,"Note that like most other cells, these nerve cells have a nucleus. They also have other organelles. However, the long, threadlike extensions of the nerve cells are unique. This is where the nerve impulses are transmitted.","long, threadlike extensions"
Convection in which part of the earth drives the movement of the plates of lithosphere over the earth’s surface?,Convection in the mantle drives the movement of the plates of lithosphere over the Earth’s surface. New oceanic crust forms at the ridge and pushes the older seafloor away from the ridge horizontally.,mantle
What is the atomic number of magnesium?,REVIEW QUESTIONS 2. Magnesium has an atomic number of 12. Which of the following statements is true of a neutral magnesium atom? a.,12
What term is used to describe the full range of electromagnetic waves?,"Electromagnetic waves vary in their wavelength, frequency, and energy. The full range of electromagnetic waves makes up the electromagnetic spectrum.",electromagnetic spectrum
"What layer covers the bones that make them look tough, shiny, and white?","Bones look tough, shiny, and white because they are covered by a layer called the periosteum . Many bones also contain a soft connective tissue called bone marrow in the pores of the spongy bone. Bone marrow is where blood cells are made.",periosteum
Some compounds form rigid frameworks called what?,Some compounds form rigid frameworks called crystals. Other compounds form individual molecules. A molecule is the smallest particle of a compound that still has the compound’s properties.,crystals
What is the term for genes that control the expression of other genes within specific regions of cells in the developing organism?,Gap genes control the expression of other genes within specific regions of cells in the developing organism. This allows specific genes to be expressed in certain cells at the appropriate stage of development.,gap genes
What's the term for a piece of an organism breaking off and forming a new organism?,"Fragmentation occurs when a piece breaks off from a parent organism. Then the piece develops into a new organism. Sea stars, like the one in Figure below , can reproduce this way. In fact, a new sea star can form from a single “arm. ”.",fragmentation
"Aquatic producers need nutrients and what dissolved gas, which is more abundant near the surface of water?","In addition to sunlight, aquatic producers also need dissolved oxygen and nutrients. Water near the surface generally contains more dissolved oxygen than deeper water. Many nutrients enter the water from the land. Therefore, water nearer shore usually contains more dissolved nutrients than water farther from shore.",oxygen
What are small organelles and are the site of protein synthesis called.,Ribosomes are small organelles and are the site of protein synthesis. They are found in all cells.,ribosomes
"When the nucleus divides, the two chromatids that make up each chromosome separate from each other and move to opposite poles of the cell during this process?","During mitosis , when the nucleus divides, the two chromatids that make up each chromosome separate from each other and move to opposite poles of the cell. This is shown in Figure below . You can watch an animation of the process at the following link: http://www. biology. arizona. edu/Cell_bio/tutorials/cell_cycle/MitosisFlash. html .",mitosis
What do we call the mathematical field of study credited to french mathematician-philosopher rene descartes?,"The plot that we know of as a graph was the brainchild of the French mathematician-philosopher Rene Descartes (1596-1650). His studies in mathematics led him to develop what was known as “Cartesian geometry”, including the idea of our current graphs. The coordinates are often referred to as Cartesian coordinates.",cartesian geometry
"What results when volcanic ash encircles the globe, blocking the sun and lowering the temperature of the entire planet?","Supervolcanoes are the most dangerous type of volcano. During an eruption, enormous amounts of ash are thrown into the atmosphere. The ash encircles the globe. This blocks the Sun and lowers the temperature of the entire planet. The result is a volcanic winter.",volcanic winter
What structure of a cell is enclosed by a membrane and contains most of the cell’s dna?,"Besides the four parts listed above, many cells also have a nucleus. The nucleus of a cell is a structure enclosed by a membrane that contains most of the cell’s DNA. Cells are classified in two major groups based on whether or not they have a nucleus. The two groups are prokaryotic cells and eukaryotic cells.",nucleus
What are broad explanations that are widely accepted as true?,Scientific theories are broad explanations that are widely accepted as true. This is because they are supported by a great deal of evidence.,scientific theories
Geologists group rocks based on how they what?,Geologists group rocks based on how they form. There are three major rock types. Each will be described in more detail in the coming concepts.,form
Ticks spread bacteria that causes what condition?,Bacterial Disease Vectors. Ticks spread bacteria that cause Lyme disease. Deerflies spread bacteria that cause tularemia.,lyme disease
Water leaves ponds and lakes through evaporation and also as what?,Ponds and lakes may get their water from several sources. Some falls directly into them as precipitation. Some enters as runoff and some from streams and rivers. Water leaves ponds and lakes through evaporation and also as outflow.,outflow
"Soluble minerals and clays accumulate in what soil layer, allowing it to hold more water?","Below the topsoil is the “B” horizon. This is also called the subsoil . Soluble minerals and clays accumulate in the subsoil. Because it has less organic material, this layer is lighter brown in color than topsoil. It also holds more water due to the presence of iron and clay. There is less organic material in this layer.",subsoil
What type of microscope is used to see extremely small objects?,"Light microscopes continued to improve and are still used today. However, to see extremely small objects, a different type of microscope, such as an electron microscope, must be used.",electron microscope
What is the study of energy and how it interacts with matter?,"Physics is the study of energy and how it interacts with matter. Important concepts in physics include motion, forces such as magnetism and gravity, and different forms of energy. Physics concepts can answer all the questions on the right page of the notebook in Figure above .",physics
What is it called when rays focus at different distances from the lens?,Figure 26.30 Spherical aberration is caused by rays focusing at different distances from the lens.,spherical aberration
What serves as the control center of the nervous system?,"The brain serves as the control center of the nervous system and the body as a whole. It lets us understand what we see, hear, or sense in other ways. It allows us to learn, think, remember, and use language. It controls all the organs and muscles in our body.",brain
"Most arthropods are insects. the phylum also includes spiders, centipedes, and what?","Most arthropods are insects. The phylum also includes spiders, centipedes, and crustaceans.",crustaceans
What is the region known as the myelencephalon in the embryonic brain?,"Medulla The medulla is the region known as the myelencephalon in the embryonic brain. The initial portion of the name, “myel,” refers to the significant white matter found in this region—especially on its exterior, which is continuous with the white.",medulla
A pulley changes the direction of the force t exerted by the cord without changing its what?,"automobile axle drives a wheel, which has a much larger diameter than the axle. The MA is less than 1. (c) An ordinary pulley is used to lift a heavy load. The pulley changes the direction of the force T exerted by the cord without changing its magnitude. Hence, this machine has an MA of 1.",magnitude
What term is used to describe organelles that are found only in animal cells?,Centrioles are organelles that are found only in animal cells. They are located near the nucleus. They help organize the DNA in the nucleus before cell division takes place. They ensure that the DNA divides correctly when the cell divides.,centrioles
Applying a pressure greater than the osmotic pressure of a solution will do what?,Figure 11.26 Applying a pressure greater than the osmotic pressure of a solution will reverse osmosis. Solvent molecules from the solution are pushed into the pure solvent.,reverse osmosis
What is the tectonic zone called where two plates come together?,Describe and explain volcanic activity that occurs within oceanic and continental plates.,convergent boundary
What atoms make up a water molecule?,Water is a compound that forms molecules. Each water molecule consists of two atoms of hydrogen (white) and one atom of oxygen (red).,hydrogen and oxygen
Light waves which interfere with themselves after interaction with a small aperture or target are said to what?,Waves are characterized by their ability to constructively and destructively interfere . Light waves which interfere with themselves after interaction with a small aperture or target are said to diffract .,diffract
What property of warm air causes it to rise above cold air?,"The warm-air vent is placed near the floor of the room. Warm air is less dense than cold air so it rises. If the warm-air vent were placed near the ceiling instead, how would this affect the transfer of thermal energy throughout the room?.",lower density
Worms grow to adult size without going through what stage?,"In some species, the same individual produces both sperm and eggs. But worms mate to exchange sperm, rather than self-fertilizing their own eggs. Fertilized eggs are deposited in a mucous cocoon. Offspring emerge from the cocoon looking like small adults. They grow to adult size without going through a larval stage.",larval
What does the pull of the moon's gravity on earth cause?,"Figure below shows why tides occur. The main cause of tides is the pull of the Moon’s gravity on Earth. The pull is greatest on whatever is closest to the Moon. Although the gravity pulls the land, only the water can move. As a result:.",tides
What historical event taught people that soil could be lost by plowing and growing crops and encouraged new methods to prevent erosion?,The Dust Bowl taught people that soil could be lost by plowing and growing crops. This led to the development of new ways of farming that help protect the soil. Some of the methods are described in Figure below .,the dust bowl
What do you call cellular respiration that does not need oxygen to proceed?,"Scientists think that glycolysis evolved before the other stages of cellular respiration. This is because the other stages need oxygen, whereas glycolysis does not, and there was no oxygen in Earth’s atmosphere when life first evolved about 3.5 to 4 billion years ago. Cellular respiration that proceeds without oxygen is called anaerobic respiration .",anaerobic respiration
"When a liquid is heated, molecules with enough kinetic energy escape the liquid and become what?",Kinetic energy distribution curves for a liquid at two temperatures T 1 and T 2 . The shaded area is the molecules with enough kinetic energy to escape the liquid and become vapor.,vapor
What part of the cell in plants and algae does photosynthesis take place?,organelle in the cells of plants and algae where photosynthesis takes place.,organelles
What type of structures evolved to do the same job by unrelated organisms?,"Scientists compare the anatomy, embryos, and DNA of living things to understand how they evolved. Evidence for evolution is provided by homologous structures. These are structures shared by related organisms that were inherited from a common ancestor. Other evidence is provided by analogous structures. These are structures that unrelated organisms share because they evolved to do the same job.",analogous structures
The structures of both trifluoramine and hydroxylamine are similar to that of what?,The structures of both trifluoramine and hydroxylamine are similar to that of ammonia.,ammonia
"All cells have certain parts in common. these parts include the cell membrane, cytoplasm, dna, and what?","All cells have certain parts in common. These parts include the cell membrane, cytoplasm, DNA, and ribosomes.",ribosomes
What are most protist diseases in humans caused by?,Most protist diseases in humans are caused by protozoa. Protozoa make humans sick when they become human parasites.,protozoa
What type of treatment is necessary for anaphylaxis?,"In some people, a food allergy can trigger a severe allergic reaction called anaphylaxis. Emergency treatment is critical for anaphylaxis. Untreated, anaphylaxis can cause a coma or death. Anaphylaxis is vary rare. The vast majority of people will never have an anaphylactic reaction. The life-threatening symptoms of anaphylaxis include:.",emergency
Motion of water molecules helps break up interactions between what?,Motion of water molecules helps break up interactions between solid ions or molecules.,solid ions or molecules
"What is the name for the division of the cytoplasm in eukaryotic cells, resulting in two genetically identical daughter cells?","The second major step is cytokinesis. As in prokaryotic cells, the cytoplasm must divide. Cytokinesis is the division of the cytoplasm in eukaryotic cells, resulting in two genetically identical daughter cells.",cytokinesis
What third property is different if two boxes have the same volume but one has greater mass?,"A: Both boxes have the same volume because they are the same size. However, the books have greater mass than the feathers. Therefore, the box of books has greater density.",density
"What is the clear, protective covering on the outside of the eye?","First, light passes through the cornea of the eye. The cornea is a clear, protective covering on the outside of the eye.",cornea
Where do extrusive igneous rocks cool at?,Extrusive igneous rocks cool at the surface. Volcanoes are one type of feature that forms from extrusive rocks. Several other interesting landforms are also extrusive features. Intrusive igneous rocks cool below the surface. These rocks do not always remain hidden. Rocks that formed in the crust are exposed when the rock and sediment that covers them is eroded away.,surface
The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet what?,The combined magnetic force of the magnetized wire coil and iron bar makes an electromagnet very strong.,very strong
The magnitude of the momentum vector is the product of what two properties?,Momentum is a vector that points in the direction of the velocity vector. The magnitude of this vector is the product of mass and speed.,mass and speed
What occurs when light reflects off a very smooth surface and forms a clear image?,Regular reflection occurs when light reflects off a very smooth surface and forms a clear image. Diffuse reflection occurs when light reflects off a rough surface and forms a blurry image or no image at all.,regular reflection
"What term indicates moles per liter, whereas molality is moles per kilogram of solvent?","A N SW E R S 1. Molarity is moles per liter, whereas molality is moles per kilogram of solvent.",molarity
What tissue consists of cells that form the body’s structure?,"Connective tissue consists of cells that form the body’s structure. Examples include bone and cartilage, which protect and support the body. Blood is also a connective tissue. It circulates and connects cells throughout the body.",connective
