,question,correct_answer
150,What are alloys that are mostly composed of mercury known as?,"Alloys that are mostly composed of mercury are known as amalgams . Amalgams often have special properties that stem from the fact that mercury exists as a liquid at room temperature. As a result, metal amalgams are used for a variety of purposes, including dentistry and the extraction of other pure metals such as gold."
151,What are made from highly reflective metal that is applied to a curved or flat piece of glass?,"Mirrors are made from highly reflective metal that is applied to a curved or flat piece of glass. Converging mirrors can be used to focus light – headlights, telescopes, satellite TV receivers, and solar cookers all rely on this principle."
159,What do you call the horizontal stems of a strawberry plant that run over the ground surface?,"Strawberry plants have horizontal stems called stolons that run over the ground surface. If they take root, they form new plants."
160,Glaciers are incredibly powerful agents of what?,Glaciers are incredibly powerful agents of erosion.
163,What type of reproduction only involves one parent?,"Asexual reproduction involves just one parent. It produces offspring that are genetically identical to the parent. Methods of asexual reproduction include binary fission, fragmentation, and budding."
167,The spermatids are transported from the testes to where?,The spermatids are transported from the testes to the epididymis. Involuntary muscular contraction moves the spermatids along.
171,What makes and stores pigments that give petals and fruit their orange and yellow colors?,Chromoplasts make and store pigments that give petals and fruit their orange and yellow colors.
173,"When electrons return to a lower energy level, they emit the excess energy in the form of what?","When electrons return to a lower energy level, they emit energy in the form of light."
176,"In which state of matter do particles take the shape of their container, but cannot expand to fill it?","A liquid is a state of matter in which particles can slip past one another and take the shape of their container. However, the particles cannot pull apart and spread out to take the volume of their container."
178,Cations have what type of charge?,"Cations have positive charges, and anions have negative charges."
183,Comparing what sequences provides clues to evolution and development?,21.6 Comparing genome sequences provides clues to evolution and development.
186,Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and what properties?,Many hydrocarbons are cyclic and adopt specific three-dimensional structures that influence their physical and chemical properties.
193,What do we call the cartilaginous structure that surrounds the notochrod?,"distinctly differ from the adult form, spending 3 to 15 years as suspension feeders. Once they attain sexual maturity, the adults reproduce and die within days. Lampreys possess a notochord as adults; however, this notochord is surrounded by a cartilaginous structure called an arcualia, which may resemble an evolutionarily early form of the vertebral column."
205,What two ways may light be transmitted?,Transmitted light may be refracted or scattered. When does each process occur?.
206,"Triggered by changes in the environment, migration and hibernation occur as cycles on what temporal basis?","Examples of behaviors with annual cycles include migration and hibernation. Both are innate behaviors. They are triggered by changes in the environment, such as the days growing shorter in the fall."
210,What forms when the spores from two parents fuse during sexual reproduction?,Sexual reproduction occurs when spores from two parents fuse and form a zygospore.
217,What are groups of young stars loosely held together by gravity called?,Open clusters are groups of young stars loosely held together by gravity.
220,What does the driving of turbines by the heating of water to steam accomplish?,Nuclear reactors heat water to steam to drive a turbine for generation of electricity.
228,Which branch of biology studies animal behavior?,"The branch of biology that studies animal behavior is called ethology. Ethologists usually study how animals behave in their natural environment. They try to determine the cause of behaviors, how behaviors develop, and how and why behaviors evolve."
229,What unit of measure is equal to the amount of work a horse can do in 1 minute?,"Power may be measured in a unit called the horsepower. One horsepower is the amount of work a horse can do in 1 minute, which equals 745 watts of power."
237,The two stages of photosynthesis are the light reactions and what?,The two stages of photosynthesis are the light reactions and the Calvin cycle. Do you see how the two stages are related?.
245,The rings of what planet can be easily seen from earth?,All of the outer planets have numerous moons. They also have planetary rings made of dust and other small particles. Only the rings of Saturn can be easily seen from Earth.
250,The amount of kinetic energy in a moving object depends directly on its mass and what else?,The amount of kinetic energy in a moving object depends directly on its mass and velocity. An object with greater mass or greater velocity has more kinetic energy. You can calculate the kinetic energy of a moving object with this equation:.
251,"Cycling, shoveling snow and cross-country skiing are examples of what kind of heart-strengthening activity?","When done regularly, aerobic activities, such as cycling, make the heart stronger. Other aerobic activities include mowing lawn, shoveling snow and cross country skiing."
253,What is moving air called?,"Moving air, like moving water, causes erosion. Moving air is called wind."
255,What is the name of the two metalloids in the carbon group called?,"Group 14 is called the carbon group. This group contains two metalloids: silicon and germanium. Carbon is a nonmetal, and the remaining elements in this group are metals."
256,What is the name of the zone where water is deeper than 200 meters called?,"The aphotic zone is water deeper than 200 meters. This is where too little sunlight penetrates for photosynthesis to occur. As a result, producers must make ""food"" by chemosynthesis , or the food must drift down from the water above."
257,Diagnosing and treating cancer is a beneficial use of what potentially dangerous energy?,"Radiation has several important uses, including diagnosing and treating cancer."
261,"In qualitative analysis, reagents are added to an unknown chemical mixture in order to induce what?","Selective precipitation can also be used in qualitative analysis. In this method, reagents are added to an unknown chemical mixture in order to induce precipitation. Certain reagents cause specific ions to precipitate out; therefore, the addition of the reagent can be used to determine whether the ion is present in the solution."
264,What keeps the moon orbiting earth?,Gravity keeps the Moon orbiting Earth. Gravity keeps the planets orbiting the Sun.
265,What are formed by the attraction between oppositely charged ions?,Ionic bonds are formed by the attraction between oppositely charged ions.
266,What produces hormones that directly regulate body processes?,"The hypothalamus also produces hormones that directly regulate body processes. For example, it produces antidiuretic hormone. This hormone travels to the kidneys and stimulates them to conserve water by producing more concentrated urine."
267,"Comparing anatomy, and characterizing the similarities and differences, provides evidence of what process?","Take a close look at this gorilla hand. The similarities to a human hand are remarkable. Comparing anatomy, and characterizing the similarities and differences, provides evidence of evolution."
276,The mass of atoms is based on the number of protons and neutrons in what?,Atoms have a mass that is based largely on the number of protons and neutrons in their nucleus.
278,What is the study of how and why plants and animals live where they do?,Biogeography is the study of how and why plants and animals live where they do. It provides more evidence for evolution. Let’s consider the camel family as an example.
281,What do we call the energy-rich product of photosynthesis?,"Glucose is the energy-rich product of photosynthesis, a universal food for life. It is also the primary form in which your bloodstream delivers energy to every cell in your body."
286,What are generally divided into prosimian and non-prosimian?,Primates are generally divided into prosimian and non-prosimian primates.
291,"In this type of reaction, an element replaces another element in a compound, and the element is in any state of matter but is not an ion?","A single-replacement reaction is one in which an element replaces another element in a compound. An element is in either the solid, liquid, or gas state and is not an ion. The example below shows the reaction of solid magnesium metal with aqueous silver nitrate to form aqueous magnesium nitrate and silver metal."
298,What kind of map can show the features of the bottom of a body of water?,Oceanographers use bathymetric maps to show the features of the bottom of a body of water.
304,What do clouds trap into the atmosphere at night?,Clouds block sunlight in the day. Clouds trap heat in the atmosphere at night.
308,"Most biochemical molecules are macromolecules, meaning that they are what?","Most biochemical molecules are macromolecules, meaning that they are very large. Some contain thousands of monomer molecules."
310,Tests for levels of what in blood allow a diabetic patient to regulate how much insulin to administer?,"Laboratory testing has come to the local drug store or grocery store because of developments in chemistry. You can test your blood glucose using a simple portable device that runs a chemical test on the blood sample and tells you how much glucose is present, allowing a diabetic patient to regulate how much insulin to administer (chemistry is also used to produce the insulin and the disposable syringe that administers the drug)."
311,The process of breaking down food into nutrients is known as __________,"As food is pushed through the GI tract by peristalsis, it undergoes digestion. Digestion is the process of breaking down food into nutrients. There are two types of digestion: mechanical digestion and chemical digestion."
312,Reasoning can be broken down into two categories: deduction and?,Any useful hypothesis will allow predictions based on reasoning. Reasoning can be broken down into two categories: deduction and induction. Most reasoning in science is formed through induction.
313,What are used to make maps of the moon and other planets?,Astronomers use imaging satellites to study and make maps of the Moon and other planets.
317,What is a type of solid that lacks an ordered internal structure?,An amorphous solid is a solid that lacks an ordered internal structure.
318,What is it called when you get the same result after repeating an experiment?,"Getting the same result when an experiment is repeated is called replication. If research results can be replicated, it means they are more likely to be correct."
319,What is the largest human organ?,"human body system that includes the skin, nails, and hair."
323,What do craters and rifts become when the fill with water?,Craters and rifts become lakes when they fill with water. Where does the water come from?.
326,What is the temperature at which condensation of water vapor occurs called?,The temperature at which condensation of water vapor occurs is called the dew point. The dew point varies depending on air temperature and moisture content.
327,Alkenes have double bonds while alkynes have what?,Alkenes have double bonds; alkynes have triple bonds. Both undergo addition reactions.
342,What type of compound is essential to life?,Water is essential to life because chemical reactions within cells take place in water. Most people can survive only a few days without consuming water to replace their water losses. How do you lose water?.
346,What is a group of connected cells that have a similar function within an organism called?,"A tissue is a group of connected cells that have a similar function within an organism. More complex organisms such as jellyfish, coral, and sea anemones have a tissue level of organization. For example, jellyfish have tissues that have separate protective, digestive, and sensory functions."
348,Water is recycled constantly through which system?,"Water is recycled constantly through the ecosystem. That means any water you drank today has been around for millions of years. You could be drinking water that was once drunk by George Washington, the first humans, or even the dinosaurs."
349,The process in which organ systems work to maintain a stable internal environment is called what?,The process in which organ systems work to maintain a stable internal environment is called homeostasis . Keeping a stable internal environment requires constant adjustments. Here are just three of the many ways that human organ systems help the body maintain homeostasis:.
351,"What material comprises the sun and other stars, as well as lightning and the northern lights?","The sun and other stars consist of plasma. Plasma is also found naturally in lightning and the northern and southern lights. Human-made plasma is found in fluorescent lights, plasma TV screens, and plasma spheres."
357,What code is the same in all living things and shows that all organisms are related by descent from a common ancestor?,The genetic code is the same in all living things. This shows that all organisms are related by descent from a common ancestor.
362,"Electrical potential energy can be described by the equation pe = qv, where q is the electric charge and v is what?","This equation is based on the conservation of energy and conservation of charge. Electrical potential energy can be described by the equation PE = qV , where q is the electric charge and V is the voltage. Thus the energy supplied by the source is qV , while that dissipated by the resistors is."
363,What are broad explanations that are widely accepted as true?,Scientific theories are broad explanations that are widely accepted as true. This is because they are supported by a great deal of evidence.
366,The kinetic-molecular theory as it applies to gases has how many basic assumptions?,The kinetic-molecular theory as it applies to gases has five basic assumptions.
367,"During photosynthesis, what is energy from the sun converted to after entering a plant?","Cellular respiration and photosynthesis are direct opposite reactions. Energy from the sun enters a plant and is converted into glucose during photosynthesis. Some of the energy is used to make ATP in the mitochondria during cellular respiration, and some is lost to the environment as heat."
378,An electron possesses both particle and these?,An electron possesses both particle and wave properties. CONCEPTUAL PROBLEMS 1.
382,"Pressure, volume, and temperature are related by which law?","Pressure, volume, and temperature are related by the combined gas law."
383,"Different forms, or allotropes, of carbon are diamond, graphite, and what?","Different forms, or allotropes, of carbon are diamond, graphite, and fullerenes."
385,What is the force of attraction between things that have mass,Gravity has traditionally been defined as a force of attraction between things that have mass. The strength of gravity between two objects depends on their mass and their distance apart.
386,"Mitosis and meiosis are two types of what process, with dramatically different products?","Mitosis and meiosis are two types of cell division, with dramatically different products. Mitosis begins with a diploid somatic cell and ends with two genetically identical diploid cells. Meiosis begins with a diploid cell and produces four haploid genetically unique cells that form gametes."
387,Zinc reacting with hydrochloric acid produces bubbles of which gas?,Zinc reacting with hydrochloric acid produces bubbles of hydrogen gas.
389,Covalent solutes separate into what when dissolved?,Ionic solutes separate into individual ions when they dissolve. Covalent solutes separate into individual molecules.
390,"What term indicates moles per liter, whereas molality is moles per kilogram of solvent?","A N SW E R S 1. Molarity is moles per liter, whereas molality is moles per kilogram of solvent."
392,What are two of the most common vision problems?,"Many people have vision problems. Often, the problem is due to the shape of the eyes and how they focus light. Two of the most common vision problems are nearsightedness and farsightedness."
393,Hydrochloric acid is formed when hcl is dissolved into what?,"When HCl is dissolved into water, it is called hydrochloric acid. Ionic compounds and some polar compounds are completely broken apart into ions and thus conduct a current very well. A strong electrolyte is a solution in which a large fraction of the dissolved solute exists as ions."
394,Atoms of the same element that have different masses are called what?,Isotopes are atoms of the same element that have different masses.
398,What is the largest cartilaginous fish?,Mike Johnston. Whale sharks are the largest cartilaginous fish . CC BY 2.0.
400,What is the term for a random change in allele frequencies that occurs in a small population?,"Genetic drift is a random change in allele frequencies that occurs in a small population. When a small number of parents produce just a few offspring, allele frequencies in the offspring may differ, by chance, from allele frequencies in the parents."
401,"Aerobic exercise helps improve the cardiovascular system, while what exercise causes muscles to get bigger and stronger?","Aerobic exercise helps improve the cardiovascular system, while anaerobic exercise causes muscles to get bigger and stronger."
409,What type of bonds do alkanes only contain?,Alkanes contain only carbon-carbon single bonds.
413,Which type of ferns have yellow sporangia and no leaves?,Forest and Kim Starr/Starr Environmental. Whisk ferns have yellow sporangia and no leaves . CC BY 3.0.
414,"Ice masses, acquifers, and the deep ocean are examples of water what?","The atmosphere is an exchange pool for water. Ice masses, aquifers, and the deep ocean are water reservoirs."
419,What charge do atoms carry?,"Atoms, which are always neutral in electric charge, contain electrons as well as protons and neutrons. An electron has an electrical charge of -1. If an atom has three electrons, infer how many protons it has."
421,Organisms that obtain food from outside themselves (i.e. they don't make their own food) are known as what?,"Fungi are heterotrophs, meaning they obtain food from outside themselves."
423,The process of the cytoplasm splitting apart and the cell pinching in two is known as what?,"The cell wall grows toward the center of the cell. The cytoplasm splits apart, and the cell pinches in two. This is called cytokinesis ."
428,What is the base of nearly all food chains on earth?,"Photosynthesis is the base of nearly all food chains on Earth. This is true of marine food chains, too."
429,The skull is a part of a vertebrate endoskeleton that encloses and protects what organ?,part of a vertebrate endoskeleton that encloses and protects the brain; also called the skull.
430,The global pattern of precipitation is influenced by movements of what?,"The global pattern of precipitation is influenced by movements of air masses. For example, there is a global belt of dry air masses and low precipitation at about 30° N and 30° S latitude."
432,How many major forces of elevation cause allele frequencies to change?,"There are four major forces of evolution that cause allele frequencies to change. They are mutation, gene flow, genetic drift, and natural selection."
435,"What organelles are known as the ""power plants"" of the cell?","They have lots of mitochondria. Mitochondria are called the power plants of the cell, as these organelles are where most of the cell's energy is produced. Cells that need lots of energy have lots of mitochondria."
438,What temperature scale is obtained by adding 273 degrees from the corresponding celsius temperature?,The Celsius scale is the standard SI temperature scale. It is equal to the Kelvin scale if you minus 273 from the Celsius reading. Water has a boiling point of and a freezing point of .
441,What term describes the orientation of a body lying face-down?,"A body that is lying down is described as either prone or supine. Prone describes a face-down orientation, and supine describes a face up orientation. These terms are sometimes used in describing the position of the body during specific physical examinations or surgical procedures."
443,What is the name of the second most electronegative element?,"Oxygen has an oxidation state of -2 in most of its compounds. Oxygen is the second most electronegative element, so it also tends to be assigned all shared electrons. Exceptions include O 2 (oxidation state = 0), peroxides, in which two oxygen atoms are connected by a single bond (oxidation state usually = -1), and any compound in which oxygen is bonded to fluorine (pretty rare and reactive)."
444,What is the term for species evolving together?,Coevolution occurs when species evolve together. This often happens in species that have symbiotic relationships. Examples include flowering plants and their pollinators.
446,What's the other term for your wind pipe?,"The trachea , or wind pipe, is a long tube that leads down to the chest."
449,What is the term for the tube that carries sound waves into the ear?,The ear canal is a tube that carries sound waves into the ear. The sound waves travel through the air inside the ear canal to the eardrum.
457,What are the primary producers in terrestrial biomes?,"Plants are the primary producers in terrestrial biomes. They make food for themselves and other organisms by photosynthesis. The major plants in a given biome, in turn, help determine the types of animals and other organisms that can live there."
462,Frequency and intensity are two measurable properties of what?,All waves can be defined in terms of their frequency and intensity.
463,"While most mammals give birth to live young, monotremes can do what?","Monotremes can lay eggs, but most mammals give birth to live young."
470,Fission is a type of radioactivity in which large nuclei spontaneously break apart into what?,Fission is a type of radioactivity in which large nuclei spontaneously break apart into smaller nuclei.
471,"Bones are the main organs of what system, which also includes cartilage and ligaments?",Bones are the main organs of the skeletal system. The skeletal system also includes cartilage and ligaments.
475,Sensory neurons transmit nerve impulses from sense organs and internal organs to the brain via the?,"Sensory neurons transmit nerve impulses from sense organs and internal organs to the brain via the spinal cord. In other words, they carry information about the inside and outside environment to the brain."
477,Acids turn blue litmus paper which color?,"Certain indicator compounds, such as litmus, can be used to detect acids. Acids turn blue litmus paper red."
478,The development of a head region is called what?,"Most flatworms have a distinct head region that includes nerve cells and sensory organs, such as eyespots. The development of a head region, called cephalization , evolved at the same time as bilateral symmetry in animals. This process does not occur in cnidarians, which evolved prior to flatworms and have radial symmetry."
479,Which hormone helps cells absorb sugar from the blood?,Endocrine system: A high concentration of sugar in the blood triggers secretion of insulin by an endocrine gland called the pancreas. Insulin is a hormone that helps cells absorb sugar from the blood.
485,What is a pure substance that cannot be separated into any other substances called?,An element is a pure substance that cannot be separated into any other substances. There are 92 naturally occurring elements.
486,How many different types of stresses are there?,Stress is the force applied to a rock. There are four types of stresses:.
498,What are the main organs of the respiratory system?,The lungs are the main organs of the respiratory system. This is where gases are exchanged between the air and the blood. Gases are also transported by the blood and exchanged between the blood and all the cells of the body.
499,"What do you call the traits that allow a plant, animal, or other organism to survive and reproduce in its environment?","Every plant and animal depends on its traits to survive. Survival may include getting food, building homes, and attracting mates. Traits that allow a plant, animal, or other organism to survive and reproduce in its environment are called adaptations ."
500,The products of photosynthesis are glucose and what else?,The products of photosynthesis are glucose and oxygen.
501,In what way do bacteria reproduce?,"Bacteria reproduce by binary fission, resulting in two daughter cells identical to the parent cell."
502,What type of fibers are made mostly of protein in living things?,Muscle fibers are made mostly of protein.
504,"Nearly all protists exist in some type of aquatic environment, including freshwater and marine environments, damp soil, and even snow. several protist species are parasites that infect animals or plants. a few protist species live on dead organisms or their wastes, and contribute to what?","Habitats Nearly all protists exist in some type of aquatic environment, including freshwater and marine environments, damp soil, and even snow. Several protist species are parasites that infect animals or plants. A few protist species live on dead organisms or their wastes, and contribute to their decay."
505,What type of rocks form from cooled magma or lava?,Igneous rocks form from cooled magma or lava.
506,"What kind of cells have positive cell potentials, and all the reduction reactions are reversible?","Galvanic cells have positive cell potentials, and all the reduction reactions are reversible. The reaction at the anode will be the half-reaction with the smaller or more negative standard reduction potential. Reversing the reaction at the anode (to show the oxidation) but not its standard reduction potential gives: Anode (oxidation):."
507,A fish's stream-lined body that reduces water resistance is an example of what kind of response to an aquatic lifestyle?,"Many structures in fish are adaptations for their aquatic lifestyle. For example, fish have a stream-lined body that reduces water resistance while swimming."
508,Emissions of what gas into the atmosphere from fossil fuel burning have been rising for the past several decades?,Carbon dioxide emissions into the atmosphere from fossil fuel burning have been rising for the past several decades.
509,Gymnosperms have seeds but do not have what?,Gymnosperms have seeds but do not have flowers.
510,Modern members of what broad animal group live in many different habitats and are found on every continent except antarctica?,Modern reptiles live in many different habitats. They can be found on every continent except Antarctica.
511,The right ventricle pumps what type of blood toward the lungs?,"The right ventricle pumps oxygen-poor blood toward the lungs, where it receives oxygen."
514,What waves are the broad range of electromagnetic waves with the longest wavelengths and lowest frequencies?,"Radio waves are the broad range of electromagnetic waves with the longest wavelengths and lowest frequencies. They are used for radio and television broadcasts, microwave ovens, cell phone transmissions, and radar."
516,Light waves which interfere with themselves after interaction with a small aperture or target are said to what?,Waves are characterized by their ability to constructively and destructively interfere . Light waves which interfere with themselves after interaction with a small aperture or target are said to diffract .
517,"Distance traveled divided by time yields what measurement, which is another word used to describe the speed of a chemical reaction?","Chemists need to be concerned with the rates at which chemical reactions occur. Rate is another word for speed. If a sprinter takes 11.0 s to run a 100 m dash, his rate or speed is given by the distance traveled divided by the time."
518,"Beryllium, magnesium, calcium, strontium, and barium are classified as what type of metals?","The alkaline earth metals include beryllium, magnesium, calcium, strontium, and barium. Strontium and barium react with air and must be stored in oil."
522,The negative logarithm of the hydroxide-ion concentration of a solution is called?,"As with the hydrogen-ion concentration, the concentration of the hydroxide ion can be expressed logarithmically by the pOH. The pOH of a solution is the negative logarithm of the hydroxide-ion concentration."
528,What is another term for scale worms?,"Halkieria, or scale worms, are an example of a fossil life from the Cambrian."
532,What can reproduce by infecting the cell of a living host?,"A virus cannot reproduce on its own. However, a virus can reproduce by infecting the cell of a living host. Inside the host cell, the virus uses the cell’s structures, materials, and energy to make copies of itself."
533,The theory that establishes the concepts of atoms and how they compose matter is called what?,The modern atomic theory establishes the concepts of atoms and how they compose matter.
536,What does the activity of an organism depend on the totality of?,"the activity of an organism depends on the total activity of independent cells,."
537,What is solid water that forms when water vapor undergoes deposition?,Frost is solid water that forms when water vapor undergoes deposition.
540,Plant cells have structures that animal cells?,Plant cells have structures that animal cells lack. What important process takes place in plant cells but not in animal cells that might explain their differences?.
541,What reduces the need for pesticides and other toxic chemicals?,"Harmless fungi can be used to control pathogenic bacteria and insect pasts on crops. Fungi compete with bacteria for nutrients and space, and they parasitize insects that eat plants. Fungi reduce the need for pesticides and other toxic chemicals."
544,"Types of neurons include sensory neurons, motor neurons, and?","Types of neurons include sensory neurons, motor neurons, and interneurons."
552,"When acellular slime molds swarm, they fuse together to form a single cell with many what?","When acellular slime molds swarm, they fuse together to form a single cell with many nuclei."
561,Certain medications can suppress the immune system. this is an intended effect of drugs given to people with what?,"Certain medications can suppress the immune system. This is an intended effect of drugs given to people with transplanted organs. In many cases, however, it is an unwanted side effect of drugs used to treat other diseases."
562,The geometry of the bf 3 molecule is called what?,"The geometry of the BF 3 molecule is called trigonal planar . The fluorine atoms are positioned at the vertices of an equilateral triangle. The F-B-F angle is 120°, and all four atoms lie in the same plane."
