question,answer,question_with_blanks,draggables
"The most common two-lens telescope, like the simple microscope, uses lenses of what shape?","The most common two-lens telescope, like the simple microscope, uses two convex lenses and is shown in Figure 26.23(b). The object is so far away from the telescope that it is essentially at infinity compared with the focal lengths of the lenses ( d o ≈ ∞ ). The first image is thus produced at.","The most common two-lens telescope, like the simple microscope, uses two convex lenses and is shown in Figure 26.23(b). The [DROP] is [DROP] far away from the telescope that it is essentially at infinity compared [DROP] the focal lengths of the [DROP] [DROP] d o ≈ ∞ ). The first image is thus produced at.","object, so, with, lenses, ("
What is the term for a theoretical framework for describing evolutionary change in populations through the change in allele frequencies?,"CHAPTER SUMMARY 11.1 Discovering How Populations Change Evolution by natural selection arises from three conditions: individuals within a species vary, some of those variations are heritable, and organisms have more offspring than resources can support. The consequence is that individuals with relatively advantageous variations will be more likely to survive and have higher reproductive rates than those individuals with different traits. The advantageous traits will be passed on to offspring in greater proportion. Thus, the trait will have higher representation in the next and subsequent generations leading to genetic change in the population. The modern synthesis of evolutionary theory grew out of the reconciliation of Darwin’s, Wallace’s, and Mendel’s thoughts on evolution and heredity. Population genetics is a theoretical framework for describing evolutionary change in populations through the change in allele frequencies. Population genetics defines evolution as a change in allele frequency over generations. In the absence of evolutionary forces allele frequencies will not change in a population; this is known as Hardy-Weinberg equilibrium principle. However, in all populations, mutation, natural selection, genetic drift, and migration act to change allele frequencies.","CHAPTER [DROP] 11.1 Discovering How Populations Change Evolution by natural selection arises from three conditions: individuals within a species vary, some of those variations [DROP] heritable, and organisms have more offspring than resources can support. The consequence [DROP] that individuals with relatively advantageous variations will be more likely [DROP] [DROP] and have higher reproductive rates than those individuals with different traits. The advantageous traits will be passed on to offspring in greater proportion. Thus, the trait will have higher representation in the next and subsequent generations leading to genetic change in the population. The modern synthesis of evolutionary theory grew out of the reconciliation of Darwin’s, Wallace’s, and Mendel’s thoughts on evolution and heredity. Population genetics is a theoretical framework for describing evolutionary change in populations through the change in allele frequencies. Population genetics defines evolution as a change in allele frequency over generations. In the absence of evolutionary forces allele frequencies will not change in a population; this is known as Hardy-Weinberg equilibrium principle. [DROP] in all populations, mutation, natural selection, genetic drift, and migration act to change allele frequencies.","SUMMARY, are, is, to, survive, However,"
"All lipids have two distinct domains, a hydrophobic and a what?","Membrane boundaries and capturing energy In which we consider how the aqueous nature of biological systems drives the formation of lipidbased barrier membranes and how such membranes are used to capture and store energy from the environment and chemical reactions. We consider how coupled reactions are used to drive macromolecular synthesis and growth. Defining the cell’s boundary A necessary step in the origin of life was the generation of a discrete barrier, a boundary layer, that serves to separate the living non-equilibrium reaction system from the rest of the universe. This boundary layer, the structural ancestor of the plasma membrane of modern cells, serves to maintain the integrity of the living system and mediates the movement of materials and energy into and out of the cell. Based on our current observations, the plasma membrane of all modern cells appears to be a homologous structure derived from a precursor present in the last common ancestor of life. So what is the structure of this barrier (plasma) membrane? How is it built and how does it work? When a new cell is formed its plasma membrane is derived from the plasma membrane of the progenitor cell. As the cell grows, new molecules must be added into the membrane to enable it to increase its surface area. Biological membranes are composed of two general classes of molecules, proteins (which we will discuss in much greater detail in the next section of the course) and lipids. It is worth noting explicitly here that, unlike a number of other types of molecules we will be considering, such as proteins, nucleic acids, and carbohydrates, lipids are not a structurally coherent group, that is they do not have one particular basic structure. Structurally diverse molecules, such as cholesterol and phospholipids, are both considered lipids. While there is a relatively small set of common lipid types, there are many different lipids found in biological systems and the characterization of their structure and function(s) has led to a new area of specialization known as lipidomics.214 All lipids have two distinct domains: a hydrophilic (circled in red in this figure →) domain characterized by polar regions and one or more hydrophobic/hydroapathetic domains that are usually made up of C and H and are non-polar. Lipids are amphipathic. In aqueous solution, entropic effects will drive the hydrophobic/hydroapathetic parts of the lipid out of aqueous solution. But in contrast to totally non-polar molecules, like oils, the hydrophobic/hydroapathetic part of the lipid is connected to a hydrophilic domain that is soluble in 214.","Membrane boundaries and capturing energy In which we consider how the aqueous nature of biological systems drives the formation of lipidbased barrier membranes and how such membranes are used to capture and store energy from the environment and chemical reactions. We consider how coupled reactions are used to drive macromolecular synthesis and growth. Defining the cell’s boundary A necessary step in the origin of life was the [DROP] of a discrete barrier, a boundary layer, that serves to separate the living non-equilibrium reaction system from the rest of the universe. This boundary layer, the structural ancestor of the plasma membrane of [DROP] cells, serves to maintain the integrity of the living system and mediates the movement of materials and energy into and out of the cell. Based on our current observations, the plasma membrane of all modern cells appears to be a homologous structure derived from a precursor present in the last common ancestor of life. So what is the structure of this barrier (plasma) membrane? How is it built and how does it work? When a new cell is formed its plasma membrane is derived from the plasma membrane of the progenitor cell. As the cell grows, new molecules must be added into the membrane to enable it to increase its surface area. Biological membranes are composed of two general classes of molecules, proteins (which we will discuss [DROP] much greater detail in the next section of the course) and lipids. It is worth noting explicitly here that, unlike a number of other types of molecules we will be considering, such as [DROP] nucleic acids, and carbohydrates, lipids are not a structurally coherent group, that is they do not have one particular basic structure. Structurally diverse molecules, such as cholesterol and phospholipids, are both considered lipids. While there is a relatively small set of common lipid types, there are many different lipids found in biological systems and the characterization of their structure and function(s) has led to [DROP] new area of specialization known as lipidomics.214 All [DROP] have two distinct domains: a hydrophilic (circled in red in this figure →) domain characterized by polar regions and one or more hydrophobic/hydroapathetic domains that are usually made up of C and H and are non-polar. Lipids are amphipathic. In aqueous solution, entropic effects will drive the hydrophobic/hydroapathetic parts of the lipid out of aqueous solution. But in contrast to totally non-polar molecules, like oils, the hydrophobic/hydroapathetic part of the lipid is connected to a hydrophilic domain that is soluble in 214.","generation, modern, in, proteins,, a, lipids"
What is the science of how traits are passed from parents to offspring?,"science of heredity, or how traits are passed from parents to offspring.","science of heredity, or [DROP] traits [DROP] passed from [DROP] to offspring.","how, are, parents"
"In humans, what period lasts from the ninth week of development until birth?","28.3 Fetal Development The fetal period lasts from the ninth week of development until birth. During this period, male and female gonads differentiate. The fetal circulatory system becomes much more specialized and efficient than its embryonic counterpart. It includes three shunts—the ductus venosus, the foramen ovale, and the ductus arteriosus—that enable it to bypass the semifunctional liver and pulmonary circuit until after childbirth. The brain continues to grow and its structures differentiate. Facial features develop, the body elongates, and the skeleton ossifies. In the womb, the developing fetus moves, blinks, practices sucking, and circulates amniotic fluid. The fetus grows from an embryo measuring approximately 3.3 cm (1.3 in) and weighing 7 g (0.25 oz) to an infant measuring approximately 51 cm (20 in) and weighing an average of approximately 3.4 kg (7.5 lbs). Embryonic organ structures that were primitive and nonfunctional develop to the point that the newborn can survive in the outside world.","28.3 Fetal Development The fetal period [DROP] from [DROP] ninth week of development until birth. During this period, male and female gonads differentiate. The fetal circulatory system becomes much more specialized [DROP] efficient than its embryonic counterpart. It includes three shunts—the ductus venosus, the foramen ovale, and the ductus arteriosus—that enable it to bypass the semifunctional liver and pulmonary circuit until after childbirth. The brain continues [DROP] grow and its structures differentiate. Facial features develop, the body elongates, and the skeleton ossifies. In the womb, the developing fetus [DROP] [DROP] practices sucking, and circulates amniotic fluid. The fetus grows from an embryo measuring approximately 3.3 cm (1.3 in) and weighing 7 g (0.25 oz) to an infant measuring approximately 51 cm (20 in) and weighing an average of approximately 3.4 kg (7.5 lbs). Embryonic organ structures that were primitive and nonfunctional develop to the point that the newborn can survive in the outside world.","lasts, the, and, to, moves,, blinks,"
The cell expels waste and other particles through a process called what?,"3.6 Active Transport The combined gradient that affects an ion includes its concentration gradient and its electrical gradient. Living cells need certain substances in concentrations greater than they exist in the extracellular space. Moving substances up their electrochemical gradients requires energy from the cell. Active transport uses energy stored in ATP to fuel the transport. Active transport of small molecular-size material uses integral proteins in the cell membrane to move the material—these proteins are analogous to pumps. Some pumps, which carry out primary active transport, couple directly with ATP to drive their action. In secondary transport, energy from primary transport can be used to move another substance into the cell and up its concentration gradient. Endocytosis methods require the direct use of ATP to fuel the transport of large particles such as macromolecules; parts of cells or whole cells can be engulfed by other cells in a process called phagocytosis. In phagocytosis, a portion of the membrane invaginates and flows around the particle, eventually pinching off and leaving the particle wholly enclosed by an envelope of plasma membrane. Vacuoles are broken down by the cell, with the particles used as food or dispatched in some other way. Pinocytosis is a similar process on a smaller scale. The cell expels waste and other particles through the reverse process, exocytosis. Wastes are moved outside the cell, pushing a membranous vesicle to the plasma membrane, allowing the vesicle to fuse with the membrane and incorporating itself into the membrane structure, releasing its contents to the exterior of the cell.","3.6 Active Transport The combined gradient that affects an ion includes its concentration gradient and its electrical gradient. Living cells need certain substances in concentrations greater than they exist in the extracellular space. Moving substances up their electrochemical gradients requires energy from the cell. Active transport uses energy stored in ATP to fuel the transport. Active transport of small molecular-size material uses integral proteins in the cell membrane to move the material—these proteins are analogous to pumps. Some pumps, which carry out primary active transport, couple directly with ATP to drive their action. In secondary transport, energy from primary transport can be used to move [DROP] substance into the cell and up its concentration gradient. Endocytosis methods require the direct [DROP] of ATP to fuel the [DROP] of large particles such as macromolecules; parts of cells or whole cells can be engulfed by other cells in a process called phagocytosis. [DROP] phagocytosis, a portion of the membrane invaginates and flows around the particle, eventually pinching off and leaving the particle wholly enclosed by an envelope of plasma membrane. Vacuoles are broken down by the cell, with the particles used as food or dispatched in some other way. Pinocytosis is a similar process on a smaller [DROP] The cell expels waste and other particles through the reverse process, exocytosis. [DROP] are moved outside the cell, pushing a membranous vesicle to the plasma membrane, allowing the vesicle to fuse with the membrane and incorporating itself into the membrane structure, releasing its contents to the exterior of the cell.","another, use, transport, In, scale., Wastes"
What is used by sensitive systems to detect even low levels of radiation?,Measurement of exposure to radioactivity is important for anyone who deals with radioactive materials on a regular basis. Perhaps the simplest device is a personal dosimeter – a film badge that will fog up when exposed to radiation. The amount of fogging is proportional to the amount of radiation present. These devices are not very sensitive to low levels of radiation. More sensitive systems use crystals that respond in some way to radioactivity by registering the number of emissions in a given time. These systems tend to be more sensitive and more reliable than film badges.,Measurement of exposure to radioactivity is [DROP] for anyone who deals with radioactive materials on a regular basis. Perhaps the simplest device is a personal dosimeter – a film badge that will fog up when exposed to radiation. The amount of fogging is proportional to the amount of radiation [DROP] These devices are not very sensitive to low levels of radiation. More sensitive systems use crystals that respond in some way to radioactivity by registering the number [DROP] emissions in [DROP] given time. These [DROP] tend to be more sensitive and more reliable [DROP] film badges.,"important, present., of, a, systems, than"
Plants alternate between haploid and what?,Plants alternate between haploid and diploid generations. Haploid cells have one of each pair of chromosomes. Diploid cells have two of each pair.,Plants alternate between [DROP] and diploid [DROP] Haploid cells have one of each pair of chromosomes. Diploid cells [DROP] two of each pair.,"haploid, generations., have"
What does a cell need to transform into a cancerous cell?,"Typically, a series of several mutations that constitutively activate oncogenes and inactivate tumor suppressor genes is required to transform a normal cell into a cancer cell ( Figure below ). Cells have developed a number of control mechanisms to overcome mutations in proto-oncogenes. Therefore, a cell needs multiple mutations to transform into a cancerous cell. A mutation in one proto-oncogene would not cause cancer, as the effects of the mutation would be masked by the normal control of the cell cycle and the actions of tumor suppressor genes. Similarly, a mutation in one tumor suppressor gene would not cause cancer either, due to the presence of many ""backup"" genes that duplicate its functions. It is only when enough proto-oncogenes have mutated into oncogenes and enough tumor suppressor genes have been deactivated that the cancerous transformation can begin. Signals for cell growth overwhelm the signals for growth regulation, and the cell quickly spirals out of control. Often, because many of these genes regulate the processes that prevent most damage to the genes themselves, DNA damage accumulates as one ages.","Typically, a series of several mutations that constitutively activate oncogenes and inactivate tumor suppressor genes is required to transform a normal cell into [DROP] cancer cell ( Figure below ). Cells have developed a number of control mechanisms to overcome mutations in proto-oncogenes. Therefore, a [DROP] needs multiple mutations to transform into a cancerous cell. A mutation in one proto-oncogene would not cause cancer, as the effects [DROP] the mutation would be masked by the normal control of the cell cycle and the actions of tumor suppressor genes. Similarly, a mutation in one tumor suppressor gene would not cause cancer either, due to the presence [DROP] many ""backup"" genes that duplicate its functions. It is only when enough proto-oncogenes have mutated into oncogenes and enough [DROP] suppressor genes have been deactivated that the cancerous transformation can begin. Signals for cell growth overwhelm the signals for growth regulation, and the cell quickly spirals out of control. Often, because many of these genes regulate the processes that prevent most damage to the genes themselves, DNA [DROP] accumulates as one ages.","a, cell, of, of, tumor, damage"
Zinc is what kind of metal.?,"Figure 18.7 Zinc is an active transition metal. It dissolves in hydrochloric acid, forming a solution of colorless Zn 2+ ions, Cl– ions, and hydrogen gas.","Figure 18.7 Zinc is an active transition metal. It dissolves [DROP] [DROP] acid, forming a solution of [DROP] Zn 2+ ions, Cl– ions, and hydrogen gas.","in, hydrochloric, colorless"
"What process produces four haploid daughter cells, each genetically unique?","Mitosis vs. Meiosis Comparison. Mitosis produces two diploid daughter cells, genetically identical to the parent cell. Meiosis produces four haploid daughter cells, each genetically unique. See How Cells Divide: Mitosis vs. Meiosis at http://www. pbs. org/wgbh/nova/miracle/divide. html for an animation comparing the two processes.","Mitosis vs. Meiosis Comparison. Mitosis produces two diploid daughter cells, genetically [DROP] to the parent cell. Meiosis produces [DROP] haploid daughter cells, each genetically unique. See How Cells Divide: Mitosis vs. Meiosis at http://www. [DROP] org/wgbh/nova/miracle/divide. [DROP] for an animation comparing the two processes.","identical, four, pbs., html"
Most liquid freshwater is under the ground in layers of what?,"Only a tiny fraction of Earth’s freshwater is in the liquid state. Most liquid freshwater is under the ground in layers of rock. Of freshwater on the surface, the majority occurs in lakes and soil. What percentage of freshwater on the surface is found in living things?.",Only a tiny fraction [DROP] Earth’s freshwater [DROP] in the liquid state. [DROP] liquid freshwater is under the ground in layers of rock. Of freshwater on the [DROP] the majority occurs in lakes and soil. What percentage of freshwater on the surface is found in living things?.,"of, is, Most, surface,"
Which type of tides are created when the sun and moon's tides match?,"When the Sun's and Moon's tides match, there are spring tides. When the two tides are opposed, there are neap tides.","When the Sun's and Moon's [DROP] match, there are spring tides. When the two [DROP] are opposed, there are neap [DROP]","tides, tides, tides."
What is formed when water vapor in the air condenses into tiny droplets?,"Rock bands often use special stage effects, like the fake fog in this picture. Real fog forms when water vapor in the air condenses into tiny droplets of water. The fake fog shown here formed when solid carbon dioxide changed directly to carbon dioxide gas.","Rock bands often use special stage effects, like the fake [DROP] in [DROP] picture. Real fog forms when water vapor in the air condenses into tiny droplets of water. The fake fog shown here formed when solid carbon dioxide changed directly to [DROP] [DROP] gas.","fog, this, carbon, dioxide"
"We divide up the earth's seas into five what, which are really all interconnected?","People divide up the seas into five oceans. But they are really all interconnected. Even so, they are all very different. This ocean is near a shore and is obviously in a cold region. It appears to be a good habitat for whales! No matter what, the oceans have a huge influence on the planet, locally and as a whole.","[DROP] divide up the seas into five oceans. But they are really all interconnected. Even so, they [DROP] [DROP] very different. This ocean is near a shore and is obviously [DROP] [DROP] cold region. It appears to be a good habitat for whales! No matter what, the oceans have a huge influence on [DROP] planet, locally and as a whole.","People, are, all, in, a, the"
"At high pressures, how are the molecules of a gas crowded?","Particles of a hypothetical ideal gas have no significant volume and do not attract or repel each other. In general, real gases approximate this behavior at relatively low pressures and high temperatures. However, at high pressures, the molecules of a gas are crowded closer together, and the amount of empty space between the molecules is reduced. At these higher pressures, the volume of the gas molecules themselves becomes appreciable relative to the total volume occupied by the gas (Figure 9.36). The gas therefore becomes less compressible at these high pressures, and although its volume continues to decrease with increasing pressure, this decrease is not proportional as predicted by Boyle’s law.","Particles of a hypothetical ideal gas have no [DROP] volume and do not attract or repel each other. In general, real [DROP] approximate this behavior at relatively low pressures and high temperatures. However, at high pressures, the [DROP] [DROP] a gas are crowded closer together, and the amount of empty space between the molecules is reduced. At these higher pressures, the [DROP] of the gas molecules themselves becomes [DROP] relative to the total volume occupied by the gas (Figure 9.36). The gas therefore becomes less compressible at these high pressures, and although its volume continues to decrease with increasing pressure, this decrease is not proportional as predicted by Boyle’s law.","significant, gases, molecules, of, volume, appreciable"
What forms the small holes found in bread?,The small holes in bread are formed by bubbles of carbon dioxide gas. The gas was produced by alcoholic fermentation carried out by yeast.,The small holes in bread are formed by bubbles of carbon dioxide [DROP] The [DROP] was produced by alcoholic [DROP] carried out by yeast.,"gas., gas, fermentation"
An alloy is a mixture of what with one or more other substances?,"Like salt water in the ocean, many solutions are normally in the liquid state. However, matter in any state can form a solution. An alloy, which is a mixture of a metal with one or more other substances, is a solid solution at room temperature. For example, the alloy bronze is a solution of copper and tin. Matter in the gaseous state can also form solutions.","Like salt water in the [DROP] many solutions are normally in the liquid state. However, matter in any state can form [DROP] solution. An alloy, which is [DROP] mixture [DROP] a metal with one or more other substances, is a solid solution at room temperature. For example, [DROP] alloy bronze is a solution of copper and tin. Matter in the gaseous state can also form [DROP]","ocean,, a, a, of, the, solutions."
What organs need constant pressure to filter the blood?,"The kidneys also need constant pressure to filter the blood. When the blood pressure drops too low, the kidneys increase the pressure. One way is by producing angiotensin, a blood vessel-constricting protein. This protein also signals the body to retain sodium and water. Together, the constriction of blood vessels and retention of sodium and water help restore normal blood pressure.","The kidneys also [DROP] constant pressure [DROP] filter the blood. When the blood pressure drops too low, the kidneys increase the pressure. One way is by [DROP] angiotensin, a blood vessel-constricting protein. [DROP] protein also signals the body to [DROP] sodium and water. Together, the constriction of blood vessels and retention of sodium and water help [DROP] normal blood pressure.","need, to, producing, This, retain, restore"
"The word antibiotic comes from the greek anti, meaning “against,” and bios, meaning this?","The Antibiotic Crisis The word antibiotic comes from the Greek anti, meaning “against,” and bios, meaning “life. ” An antibiotic is an organismproduced chemical that is hostile to the growth of other organisms. Today’s news and media often address concerns about an antibiotic crisis. Are antibiotics that were used to treat bacterial infections easily treatable in the past becoming obsolete? Are there new “superbugs”—bacteria that have evolved to become more resistant to our arsenal of antibiotics? Is this the beginning of the end of antibiotics? All of these questions challenge the healthcare community. One of the main reasons for resistant bacteria is the overuse and incorrect use of antibiotics, such as not completing a full course of prescribed antibiotics. The incorrect use of an antibiotic results in the natural selection of resistant forms of bacteria. The antibiotic kills most of the infecting bacteria, and therefore only the resistant forms remain. These resistant forms reproduce, resulting in an increase in the proportion of resistant forms over non-resistant ones. Another problem is the excessive use of antibiotics in livestock. The routine use of antibiotics in animal feed promotes bacterial resistance as well. In the United States, 70 percent of the antibiotics produced are fed to animals. The antibiotics are not used to prevent disease, but to enhance production of their products.","The Antibiotic Crisis The word antibiotic comes from the Greek anti, meaning “against,” and bios, meaning “life. ” An antibiotic is an organismproduced chemical that is hostile to the growth of other organisms. Today’s news and media often address concerns about an antibiotic crisis. Are antibiotics that were used to treat bacterial infections easily treatable in the past becoming obsolete? [DROP] there new “superbugs”—bacteria that have evolved to become more resistant to our arsenal of antibiotics? Is this the beginning of the end of antibiotics? All of these questions challenge the healthcare community. One of the main reasons for resistant bacteria is the overuse and incorrect use of antibiotics, such as not completing a full course of prescribed antibiotics. The incorrect use of an antibiotic results in the natural selection of resistant forms of bacteria. The antibiotic kills most of the [DROP] bacteria, and therefore only the resistant forms remain. These resistant forms reproduce, resulting in an increase in [DROP] proportion of resistant forms over non-resistant ones. Another [DROP] is the excessive use of antibiotics in livestock. The routine use of [DROP] in animal feed promotes bacterial resistance as well. In the United States, 70 percent of the antibiotics produced are fed to animals. The antibiotics are not used to prevent disease, but to enhance [DROP] of their products.","Are, infecting, the, problem, antibiotics, production"
The dual character is critical for the formation of the what?,"The dual character is critical for the formation of the lipid bilayer. The hydrophilic portions of the molecule are in contact with the aqueous environment of the cell, while the hydrophobic portion of the lipids is in the interior of the bilayer and provides a barrier to the passive diffusion of most molecules.","The dual character is critical for [DROP] formation of the lipid bilayer. The hydrophilic portions of the molecule [DROP] in contact with the aqueous environment of the cell, while the hydrophobic portion of the lipids is in [DROP] interior of the bilayer and provides [DROP] barrier to the passive diffusion of [DROP] molecules.","the, are, the, a, most"
"Segmented worms have a digestive,nervous and what type of system?","Segmented worms have a digestive system, nervous system, and circulatory system.","Segmented [DROP] have a digestive system, [DROP] [DROP] and circulatory system.","worms, nervous, system,"
